slug,title,category,tier,base_exercise,prompt,status,filename
bench_press_bronze,Press de banca — Bronce,strength,bronze,bench_press,"Flat fitness app achievement badge, barbell bench press lifter on flat bench with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,bench_press_bronze.png
bench_press_silver,Press de banca — Plata,strength,silver,bench_press,"Flat fitness app achievement badge, barbell bench press lifter on flat bench with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,bench_press_silver.png
bench_press_gold,Press de banca — Oro,strength,gold,bench_press,"Flat fitness app achievement badge, barbell bench press lifter on flat bench with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,bench_press_gold.png
squat_bronze,Sentadilla — Bronce,strength,bronze,squat,"Flat fitness app achievement badge, barbell back squat athlete with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,squat_bronze.png
squat_silver,Sentadilla — Plata,strength,silver,squat,"Flat fitness app achievement badge, barbell back squat athlete with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,squat_silver.png
squat_gold,Sentadilla — Oro,strength,gold,squat,"Flat fitness app achievement badge, barbell back squat athlete with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,squat_gold.png
deadlift_bronze,Peso muerto — Bronce,strength,bronze,deadlift,"Flat fitness app achievement badge, conventional barbell deadlift from floor with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,deadlift_bronze.png
deadlift_silver,Peso muerto — Plata,strength,silver,deadlift,"Flat fitness app achievement badge, conventional barbell deadlift from floor with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,deadlift_silver.png
deadlift_gold,Peso muerto — Oro,strength,gold,deadlift,"Flat fitness app achievement badge, conventional barbell deadlift from floor with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,deadlift_gold.png
incline_bench_bronze,Banca inclinada — Bronce,strength,bronze,incline_bench,"Flat fitness app achievement badge, incline barbell bench press with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,incline_bench_bronze.png
incline_bench_silver,Banca inclinada — Plata,strength,silver,incline_bench,"Flat fitness app achievement badge, incline barbell bench press with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,incline_bench_silver.png
incline_bench_gold,Banca inclinada — Oro,strength,gold,incline_bench,"Flat fitness app achievement badge, incline barbell bench press with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,incline_bench_gold.png
overhead_press_bronze,Press militar — Bronce,strength,bronze,overhead_press,"Flat fitness app achievement badge, standing barbell overhead press with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,overhead_press_bronze.png
overhead_press_silver,Press militar — Plata,strength,silver,overhead_press,"Flat fitness app achievement badge, standing barbell overhead press with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,overhead_press_silver.png
overhead_press_gold,Press militar — Oro,strength,gold,overhead_press,"Flat fitness app achievement badge, standing barbell overhead press with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,overhead_press_gold.png
rdl_bronze,Peso muerto rumano — Bronce,strength,bronze,rdl,"Flat fitness app achievement badge, romanian deadlift with barbell with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,rdl_bronze.png
rdl_silver,Peso muerto rumano — Plata,strength,silver,rdl,"Flat fitness app achievement badge, romanian deadlift with barbell with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,rdl_silver.png
rdl_gold,Peso muerto rumano — Oro,strength,gold,rdl,"Flat fitness app achievement badge, romanian deadlift with barbell with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,rdl_gold.png
sumo_deadlift_bronze,Peso muerto sumo — Bronce,strength,bronze,sumo_deadlift,"Flat fitness app achievement badge, sumo stance barbell deadlift with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,sumo_deadlift_bronze.png
sumo_deadlift_silver,Peso muerto sumo — Plata,strength,silver,sumo_deadlift,"Flat fitness app achievement badge, sumo stance barbell deadlift with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,sumo_deadlift_silver.png
sumo_deadlift_gold,Peso muerto sumo — Oro,strength,gold,sumo_deadlift,"Flat fitness app achievement badge, sumo stance barbell deadlift with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,sumo_deadlift_gold.png
bent_row_bronze,Remo con barra — Bronce,strength,bronze,bent_row,"Flat fitness app achievement badge, bent over barbell row with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,bent_row_bronze.png
bent_row_silver,Remo con barra — Plata,strength,silver,bent_row,"Flat fitness app achievement badge, bent over barbell row with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,bent_row_silver.png
bent_row_gold,Remo con barra — Oro,strength,gold,bent_row,"Flat fitness app achievement badge, bent over barbell row with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,bent_row_gold.png
close_grip_bench_bronze,Banca agarre cerrado — Bronce,strength,bronze,close_grip_bench,"Flat fitness app achievement badge, close grip barbell bench press with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,close_grip_bench_bronze.png
close_grip_bench_silver,Banca agarre cerrado — Plata,strength,silver,close_grip_bench,"Flat fitness app achievement badge, close grip barbell bench press with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,close_grip_bench_silver.png
close_grip_bench_gold,Banca agarre cerrado — Oro,strength,gold,close_grip_bench,"Flat fitness app achievement badge, close grip barbell bench press with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,close_grip_bench_gold.png
lat_pulldown_bronze,Jalón al pecho — Bronce,strength,bronze,lat_pulldown,"Flat fitness app achievement badge, lat pulldown cable machine with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,lat_pulldown_bronze.png
lat_pulldown_silver,Jalón al pecho — Plata,strength,silver,lat_pulldown,"Flat fitness app achievement badge, lat pulldown cable machine with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,lat_pulldown_silver.png
lat_pulldown_gold,Jalón al pecho — Oro,strength,gold,lat_pulldown,"Flat fitness app achievement badge, lat pulldown cable machine with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,lat_pulldown_gold.png
cable_row_bronze,Remo en polea — Bronce,strength,bronze,cable_row,"Flat fitness app achievement badge, seated cable row with equipment, minimal vector illustration, centered silhouette, dark transparent background, accent color lime yellow #E2F163, clean lines, no text, no photorealism, game achievement icon style, 512x512, readable at small size",pending,cable_row_bronze.png
